id,name,citations,citation_count,Wydzial,Katedra
34875910500,Zielony Eunika,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=34875910500&origin=inward,1899,W11,Katedra Technologii Kwantowych
8502904600,Ciźman Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8502904600&origin=inward,938,Unknown,Unknown
7004385346,Polak Adam G.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004385346&origin=inward,715,W04,Katedra Metrologii Elektronicznej i Fotonicznej
7003330792,Chyla Antoni T.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003330792&origin=inward,2232,Unknown,Unknown
6701408322,Wojciechowska Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701408322&origin=inward,1646,W03,Katedra Chemii Nieorganicznej i Strukturalnej
56305470100,Noworyta Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56305470100&origin=inward,1476,Unknown,Unknown
55898531800,Komorowska MaŁgorzata,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55898531800&origin=inward,2702,Unknown,Unknown
36117472100,Bazylińska Urszula,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=36117472100&origin=inward,2235,W03,Katedra Chemii Fizycznej i Kwantowej
8278525100,Bauer Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8278525100&origin=inward,925,Unknown,Unknown
7004056403,Szostak Maciej Magdalena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004056403&origin=inward,782,Unknown,Unknown
6603902023,Dobierzewska-Mozrzymas Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603902023&origin=inward,630,Unknown,Unknown
6602899669,Zylka Pawel,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602899669&origin=inward,378,Unknown,Unknown
6602757751,Poźniak Gryzelda,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602757751&origin=inward,4329,Unknown,Unknown
56446999700,Dzimitrowicz Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56446999700&origin=inward,1108,W03,Katedra Chemii Analitycznej i Metalurgii Chemicznej
12779994000,Pražmowska Joanna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=12779994000&origin=inward,661,Unknown,Unknown
24783492900,Ingier-Stocka Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=24783492900&origin=inward,783,Unknown,Unknown
12242263200,Roszak Katarzyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=12242263200&origin=inward,1119,W11,Katedra Fizyki Teoretycznej
6603298021,Roszkowska Elźbieta K.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603298021&origin=inward,793,Unknown,Unknown
22735444200,Sitek Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=22735444200&origin=inward,803,W11,Katedra Fizyki Teoretycznej
15031310600,Burduk Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=15031310600&origin=inward,420,W10,"Katedra Technologii Laserowych, Automatyzacji i Organizacji Produkcji"
8226012300,Klimek-Ochab Magdalena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8226012300&origin=inward,826,W03,"Katedra Biochemii, Biologii Molekularnej i Biotechnologii"
