Authors,Link
"Valderrama J.O., Arce P.F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872393107&doi=10.1016%2fj.fluid.2012.12.012&partnerID=40&md5=42a2f08e12c691996abb27b5bc4eb83e"
"Zhang J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873371021&doi=10.4028%2fwww.scientific.net%2fAMM.275-277.2182&partnerID=40&md5=9ed5d6b85b0fcdd0692b2ebcb601f0d6"
"Xu Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873859584&doi=10.4028%2fwww.scientific.net%2fAMR.641-642.890&partnerID=40&md5=d49381303f62745bd0a33ef48f1d7d8a"
"Yuan Q., Bateman S.A., Shen S., Gloria-Esparza C., Xia K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872375159&doi=10.1177%2f0892705711417656&partnerID=40&md5=17cbc16c702a27cfabc276d9b7a9f7bc"
"Bi W., Tian M., Row K.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873188992&doi=10.1080%2f00032719.2012.721106&partnerID=40&md5=42d599e4327a8f054e6c11c4b64949dc"
"Das R.N., Roy K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873407451&doi=10.1007%2fs11030-012-9413-y&partnerID=40&md5=e6ce8db2cb41ca27282b2280ddb113f0"
"Xu X., Xiao H., Guan Y., Li S., Wei D., Zheng A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867575100&doi=10.1002%2fapp.37524&partnerID=40&md5=70dc1be7cb54c60d2e2016d96b7f687c"
"Pietrzak R., Szatanik R., Olchawa R., Książek K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881555919&doi=10.1007%2fs11003-013-9561-y&partnerID=40&md5=647056b3a9e44f49ca065123d02a6286"
"Tian M., Bi W., Row K.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870914783&doi=10.1002%2fpca.2386&partnerID=40&md5=88975e357a6ca2bd7e02e48bf898b424"
"Saini P., Choudhary V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871607283&doi=10.1007%2fs10853-012-6797-0&partnerID=40&md5=1049791dece10dd577a5665de9d3e6a2"
"Xing C., Zhao M., Zhao L., You J., Cao X., Li Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887579702&doi=10.1039%2fc3py00466j&partnerID=40&md5=a4e1104f4a05eec343a87f0c7a80d859"
"Zhao C., Xue J., Ran F., Sun S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866151570&doi=10.1016%2fj.pmatsci.2012.07.002&partnerID=40&md5=00fed3547644cbda71485e67809cf5f5"
"Zu L., Zhang X., Wang Y., Xue S., Xu D., Zhang X.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872476959&partnerID=40&md5=e5566f21d434bb6c21c1fc8244698a61"
"Bilinska A., Žilinskas A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875200988&partnerID=40&md5=07b8969033b767e885851bc43f391d38"
"Agrisuelas J., García-Jareño J.J., Piedras M., Sanz C., Vicente F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885740149&doi=10.1149%2f05050.0071ecst&partnerID=40&md5=788e3947df9a22128f9bbd68ae57248f"
"Bunio P., Chlebicki J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867099649&doi=10.1016%2fj.colsurfa.2012.03.060&partnerID=40&md5=1f026ea4cf9131851a680f7d58f3afff"
"Pietka-Ottlik M., Frackowiak R., Maliszewska I., Kołwzan B., Wilk K.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865727756&doi=10.1016%2fj.chemosphere.2012.05.090&partnerID=40&md5=7a2c9d556eb1850110d2adeeda35d197"
"Xu X., Xiao H., Guan Y., Li S., Wei D., Zheng A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863825034&doi=10.1002%2fapp.36620&partnerID=40&md5=e876c9f1db8a64d76941fb4db2c23999"
"Tong F.-F., Xu H., Yu J., Wen L.-X., Zhang J., He J.-S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867529977&doi=10.1021%2fie301409h&partnerID=40&md5=86ce3a798601aae5fe4504cb9fbace60"
"Bao Y., Li Q., Li Y., Fang J., Wu C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868358609&partnerID=40&md5=65c154af4e7ec91d63da1c9846d5ae24"
"Zheng A., Xu X., Xiao H., Li N., Guan Y., Li S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863527998&doi=10.1016%2fj.apsusc.2012.05.105&partnerID=40&md5=dc51c490d7afe84d7b2930acb3837cf0"
"Pernak J., Wasiński K., Praczyk T., Nawrot J., Cieniecka-Rosłonkiewicz A., Walkiewicz F., Materna K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866168631&doi=10.1007%2fs11426-012-4631-9&partnerID=40&md5=adad307dfb0956104dd59a498fd9f628"
"Valderrama J.O., Rojas R.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864618336&doi=10.1016%2fj.crci.2012.04.011&partnerID=40&md5=4e7d6cd7c6b288b8873bd8fb263add6d"
"Domańska U., Pobudkowska A., Bocheńska P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863834619&doi=10.1021%2fje201301b&partnerID=40&md5=1e9be682d5109f44ffe6f65e278b3029"
"Choudalakis G., Gotsis A.D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859939168&doi=10.1016%2fj.cocis.2012.01.004&partnerID=40&md5=6d609551e68dad82cece988c2f51f4c0"
"El Hasnaoui M., Belattar J., Achour M.E., Costa L.C., Lahjomri F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863797746&partnerID=40&md5=41ebc6054c854bf7b5ab41fef6739941"
"Tang S., Baker G.A., Zhao H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860456856&doi=10.1039%2fc2cs15362a&partnerID=40&md5=1d92cc339389244df2fec1165efd7952"
"Song S., Fu P., Wang Y., Wang Z., Qian Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862801215&doi=10.1016%2fj.colsurfa.2012.02.042&partnerID=40&md5=d1bb984730e55698edf9d1bd2c713376"
"Sharma P., Choi S.-H., Park S.-D., Baek I.-H., Lee G.-S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856328066&doi=10.1016%2fj.cej.2011.12.024&partnerID=40&md5=52e12cd95d65a29eb324e25fb85aa0b0"
"Yu W., Zhou X., Zhang W., Liu D., Liu D., Liu D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84255188353&doi=10.4028%2fwww.scientific.net%2fAMR.415-417.728&partnerID=40&md5=3764f179954c62b49f2d56ea358f046d"
"Bi W., Zhu T., Park D.W., Row K.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856901888&doi=10.1002%2fapj.495&partnerID=40&md5=8fe64c1d830ce6b104292e9d574aa0bc"
"Sirshendu De S., Mondal S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045347252&doi=10.1201%2fb12148&partnerID=40&md5=6d49b7325819a248a0242fc4657bc4ce"
"Bart J.C.J., Gucciardi E., Cavallaro S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902759438&doi=10.1533%2f9780857096326&partnerID=40&md5=c63eb57ab450c239d0ceaa486bddd456"
"Eisazadeh H., Tanzifi M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053378434&partnerID=40&md5=821407d3812e1a6aa28c9a52d0644a90"
"Saatchi M.M., Shojaei A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960634401&doi=10.1016%2fj.msea.2011.05.089&partnerID=40&md5=5ab089d3d8767557fc617f2f23515f8b"
"Jenkins H.D.B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053161769&doi=10.3184%2f003685011X13138407794135&partnerID=40&md5=023a279681f14bc7399451bb645b1ad1"
"Moniruzzaman M., Goto M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959724814&doi=10.1252%2fjcej.11we015&partnerID=40&md5=70f038ab32a03bb5657f270f84e99019"
"Verdolotti L., Colini S., Porta G., Iannace S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955881204&doi=10.1002%2fpen.21846&partnerID=40&md5=2f23613485e24918714b3fca7dfbfd6b"
"Alcantara G.B., Paterno L.G., Fonseca F.J., Morais P.C., Soler M.A.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952183411&doi=10.1016%2fj.jmmm.2010.11.049&partnerID=40&md5=a461dd96ad87fdcb563206125f30e64c"
"Zhou H., Chen J., Ye L., Lin H., Yuan Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955006034&doi=10.1016%2fj.biortech.2011.02.066&partnerID=40&md5=91b8ecdf4b75441ee81387d9654c11a9"
